"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"9/1/2012","Washington, DC","1 - 1.5 hr","Annual","340","0"
"9/1/2012","Washington, DC","1.5 - 2 hr","24-hr Pass","1812","0"
"9/1/2012","Washington, DC","1.5 - 2 hr","Annual","134","0"
"9/1/2012","Washington, DC","2 - 3 hr","24-hr Pass","1477","0"
"9/1/2012","Washington, DC","2 - 3 hr","Annual","92","0"
"9/1/2012","Washington, DC","3 - 4 hr","24-hr Pass","410","0"
"9/1/2012","Washington, DC","3 - 4 hr","Annual","34","0"
"9/1/2012","Washington, DC","4 - 5 hr","24-hr Pass","138","0"
"9/1/2012","Washington, DC","4 - 5 hr","Annual","11","0"
"9/1/2012","Washington, DC","5 - 24 hr","24-hr Pass","142","0"
"9/1/2012","Washington, DC","5 - 24 hr","Annual","102","0"
"10/1/2012","Alexandria, VA","<0.5 hr","24-hr Pass","187","0"
"10/1/2012","Alexandria, VA","<0.5 hr","Annual","1430","1710"
"10/1/2012","Alexandria, VA","0.5 - 1 hr","24-hr Pass","84","0"
"10/1/2012","Alexandria, VA","0.5 - 1 hr","Annual","41","0"
"10/1/2012","Alexandria, VA","1 - 1.5 hr","24-hr Pass","57","0"
"10/1/2012","Alexandria, VA","1 - 1.5 hr","Annual","7","0"
"10/1/2012","Alexandria, VA","1.5 - 2 hr","24-hr Pass","20","0"
"10/1/2012","Alexandria, VA","1.5 - 2 hr","Annual","2","0"
"10/1/2012","Alexandria, VA","2 - 3 hr","24-hr Pass","11","0"
"10/1/2012","Alexandria, VA","2 - 3 hr","Annual","1","0"
"10/1/2012","Alexandria, VA","3 - 4 hr","24-hr Pass","4","0"
"10/1/2012","Alexandria, VA","3 - 4 hr","Annual","1","0"
"10/1/2012","Alexandria, VA","4 - 5 hr","24-hr Pass","2","0"
"10/1/2012","Alexandria, VA","4 - 5 hr","Annual","0","0"
"10/1/2012","Alexandria, VA","5 - 24 hr","24-hr Pass","2","0"
"10/1/2012","Alexandria, VA","5 - 24 hr","Annual","2","0"
"10/1/2012","Arlington, VA","<0.5 hr","24-hr Pass","1115","0"
"10/1/2012","Arlington, VA","<0.5 hr","Annual","11958","15155"
"10/1/2012","Arlington, VA","0.5 - 1 hr","24-hr Pass","373","0"
"10/1/2012","Arlington, VA","0.5 - 1 hr","Annual","287","0"
"10/1/2012","Arlington, VA","1 - 1.5 hr","24-hr Pass","208","0"
"10/1/2012","Arlington, VA","1 - 1.5 hr","Annual","18","0"
"10/1/2012","Arlington, VA","1.5 - 2 hr","24-hr Pass","114","0"
"10/1/2012","Arlington, VA","1.5 - 2 hr","Annual","5","0"
"10/1/2012","Arlington, VA","2 - 3 hr","24-hr Pass","91","0"
"10/1/2012","Arlington, VA","2 - 3 hr","Annual","7","0"
"10/1/2012","Arlington, VA","3 - 4 hr","24-hr Pass","30","0"
"10/1/2012","Arlington, VA","3 - 4 hr","Annual","2","0"
"10/1/2012","Arlington, VA","4 - 5 hr","24-hr Pass","7","0"
"10/1/2012","Arlington, VA","4 - 5 hr","Annual","1","0"
"10/1/2012","Arlington, VA","5 - 24 hr","24-hr Pass","13","0"
"10/1/2012","Arlington, VA","5 - 24 hr","Annual","2","0"
"10/1/2012","Washington, DC","<0.5 hr","24-hr Pass","22220","0"
"10/1/2012","Washington, DC","<0.5 hr","Annual","161297","204943"
"10/1/2012","Washington, DC","0.5 - 1 hr","24-hr Pass","5769","0"
"10/1/2012","Washington, DC","0.5 - 1 hr","Annual","2656","0"
"10/1/2012","Washington, DC","1 - 1.5 hr","24-hr Pass","2849","0"
"10/1/2012","Washington, DC","1 - 1.5 hr","Annual","289","0"
"10/1/2012","Washington, DC","1.5 - 2 hr","24-hr Pass","1824","0"
"10/1/2012","Washington, DC","1.5 - 2 hr","Annual","111","0"
"10/1/2012","Washington, DC","2 - 3 hr","24-hr Pass","1273","0"
"10/1/2012","Washington, DC","2 - 3 hr","Annual","84","0"
"10/1/2012","Washington, DC","3 - 4 hr","24-hr Pass","368","0"
"10/1/2012","Washington, DC","3 - 4 hr","Annual","23","0"
"10/1/2012","Washington, DC","4 - 5 hr","24-hr Pass","126","0"
"10/1/2012","Washington, DC","4 - 5 hr","Annual","11","0"
"10/1/2012","Washington, DC","5 - 24 hr","24-hr Pass","111","0"
"10/1/2012","Washington, DC","5 - 24 hr","Annual","93","0"
"11/1/2012","Alexandria, VA","<0.5 hr","24-hr Pass","110","0"
"11/1/2012","Alexandria, VA","<0.5 hr","Annual","996","1293"
"11/1/2012","Alexandria, VA","0.5 - 1 hr","24-hr Pass","46","0"
"11/1/2012","Alexandria, VA","0.5 - 1 hr","Annual","25","0"
"11/1/2012","Alexandria, VA","1 - 1.5 hr","24-hr Pass","40","0"
"11/1/2012","Alexandria, VA","1 - 1.5 hr","Annual","12","0"
"11/1/2012","Alexandria, VA","1.5 - 2 hr","24-hr Pass","17","0"
"11/1/2012","Alexandria, VA","1.5 - 2 hr","Annual","3","0"
"11/1/2012","Alexandria, VA","2 - 3 hr","24-hr Pass","13","0"
"11/1/2012","Alexandria, VA","2 - 3 hr","Annual","1","0"
"11/1/2012","Alexandria, VA","3 - 4 hr","24-hr Pass","0","0"
"11/1/2012","Alexandria, VA","3 - 4 hr","Annual","0","0"
"11/1/2012","Alexandria, VA","4 - 5 hr","24-hr Pass","2","0"
"11/1/2012","Alexandria, VA","4 - 5 hr","Annual","0","0"
"11/1/2012","Alexandria, VA","5 - 24 hr","24-hr Pass","5","0"
"11/1/2012","Alexandria, VA","5 - 24 hr","Annual","0","0"
"11/1/2012","Arlington, VA","<0.5 hr","24-hr Pass","742","0"
"11/1/2012","Arlington, VA","<0.5 hr","Annual","9010","10329"
"11/1/2012","Arlington, VA","0.5 - 1 hr","24-hr Pass","176","0"
"11/1/2012","Arlington, VA","0.5 - 1 hr","Annual","170","0"
"11/1/2012","Arlington, VA","1 - 1.5 hr","24-hr Pass","104","0"
"11/1/2012","Arlington, VA","1 - 1.5 hr","Annual","8","0"
"11/1/2012","Arlington, VA","1.5 - 2 hr","24-hr Pass","63","0"
"11/1/2012","Arlington, VA","1.5 - 2 hr","Annual","5","0"
"11/1/2012","Arlington, VA","2 - 3 hr","24-hr Pass","58","0"
"11/1/2012","Arlington, VA","2 - 3 hr","Annual","3","0"
"11/1/2012","Arlington, VA","3 - 4 hr","24-hr Pass","17","0"
"11/1/2012","Arlington, VA","3 - 4 hr","Annual","0","0"
"11/1/2012","Arlington, VA","4 - 5 hr","24-hr Pass","7","0"
"11/1/2012","Arlington, VA","4 - 5 hr","Annual","0","0"
"11/1/2012","Arlington, VA","5 - 24 hr","24-hr Pass","4","0"
"11/1/2012","Arlington, VA","5 - 24 hr","Annual","3","0"
"11/1/2012","Washington, DC","<0.5 hr","24-hr Pass","13252","0"
"11/1/2012","Washington, DC","<0.5 hr","Annual","119648","156663"
"11/1/2012","Washington, DC","0.5 - 1 hr","24-hr Pass","3304","0"
"11/1/2012","Washington, DC","0.5 - 1 hr","Annual","1540","0"
"11/1/2012","Washington, DC","1 - 1.5 hr","24-hr Pass","1425","0"
"11/1/2012","Washington, DC","1 - 1.5 hr","Annual","216","0"
"11/1/2012","Washington, DC","1.5 - 2 hr","24-hr Pass","806","0"
"11/1/2012","Washington, DC","1.5 - 2 hr","Annual","62","0"
"11/1/2012","Washington, DC","2 - 3 hr","24-hr Pass","575","0"
"11/1/2012","Washington, DC","2 - 3 hr","Annual","71","0"
"11/1/2012","Washington, DC","3 - 4 hr","24-hr Pass","168","0"
"11/1/2012","Washington, DC","3 - 4 hr","Annual","14","0"
"11/1/2012","Washington, DC","4 - 5 hr","24-hr Pass","50","0"
"11/1/2012","Washington, DC","4 - 5 hr","Annual","12","0"
"11/1/2012","Washington, DC","5 - 24 hr","24-hr Pass","30","0"
"11/1/2012","Washington, DC","5 - 24 hr","Annual","51","0"
"12/1/2012","Alexandria, VA","<0.5 hr","24-hr Pass","108","0"
"12/1/2012","Alexandria, VA","<0.5 hr","Annual","865","839"
"12/1/2012","Alexandria, VA","0.5 - 1 hr","24-hr Pass","16","0"
"12/1/2012","Alexandria, VA","0.5 - 1 hr","Annual","9","0"
"12/1/2012","Alexandria, VA","1 - 1.5 hr","24-hr Pass","8","0"
"12/1/2012","Alexandria, VA","1 - 1.5 hr","Annual","3","0"
"12/1/2012","Alexandria, VA","1.5 - 2 hr","24-hr Pass","5","0"
"12/1/2012","Alexandria, VA","1.5 - 2 hr","Annual","1","0"
"12/1/2012","Alexandria, VA","2 - 3 hr","24-hr Pass","0","0"
"12/1/2012","Alexandria, VA","2 - 3 hr","Annual","0","0"
"12/1/2012","Alexandria, VA","3 - 4 hr","24-hr Pass","1","0"
"12/1/2012","Alexandria, VA","3 - 4 hr","Annual","0","0"
"12/1/2012","Alexandria, VA","4 - 5 hr","24-hr Pass","0","0"
"12/1/2012","Alexandria, VA","4 - 5 hr","Annual","0","0"
"12/1/2012","Alexandria, VA","5 - 24 hr","24-hr Pass","0","0"
"12/1/2012","Alexandria, VA","5 - 24 hr","Annual","0","0"
"12/1/2012","Arlington, VA","<0.5 hr","24-hr Pass","384","0"
"12/1/2012","Arlington, VA","<0.5 hr","Annual","7446","7636"
"12/1/2012","Arlington, VA","0.5 - 1 hr","24-hr Pass","94","0"
"12/1/2012","Arlington, VA","0.5 - 1 hr","Annual","117","0"
"12/1/2012","Arlington, VA","1 - 1.5 hr","24-hr Pass","31","0"
"12/1/2012","Arlington, VA","1 - 1.5 hr","Annual","5","0"
"12/1/2012","Arlington, VA","1.5 - 2 hr","24-hr Pass","26","0"
"12/1/2012","Arlington, VA","1.5 - 2 hr","Annual","5","0"
"12/1/2012","Arlington, VA","2 - 3 hr","24-hr Pass","32","0"
"12/1/2012","Arlington, VA","2 - 3 hr","Annual","0","0"
"12/1/2012","Arlington, VA","3 - 4 hr","24-hr Pass","1","0"
"12/1/2012","Arlington, VA","3 - 4 hr","Annual","3","0"
"12/1/2012","Arlington, VA","4 - 5 hr","24-hr Pass","0","0"
"12/1/2012","Arlington, VA","4 - 5 hr","Annual","0","0"
"12/1/2012","Arlington, VA","5 - 24 hr","24-hr Pass","1","0"
"12/1/2012","Arlington, VA","5 - 24 hr","Annual","3","0"
"12/1/2012","Washington, DC","<0.5 hr","24-hr Pass","8715","0"
"12/1/2012","Washington, DC","<0.5 hr","Annual","100925","123885"
"12/1/2012","Washington, DC","0.5 - 1 hr","24-hr Pass","1872","0"
"12/1/2012","Washington, DC","0.5 - 1 hr","Annual","1045","0"
"12/1/2012","Washington, DC","1 - 1.5 hr","24-hr Pass","886","0"
"12/1/2012","Washington, DC","1 - 1.5 hr","Annual","103","0"
"12/1/2012","Washington, DC","1.5 - 2 hr","24-hr Pass","487","0"
"12/1/2012","Washington, DC","1.5 - 2 hr","Annual","29","0"
"12/1/2012","Washington, DC","2 - 3 hr","24-hr Pass","404","0"
"12/1/2012","Washington, DC","2 - 3 hr","Annual","40","0"
"12/1/2012","Washington, DC","3 - 4 hr","24-hr Pass","101","0"
"12/1/2012","Washington, DC","3 - 4 hr","Annual","12","0"
"12/1/2012","Washington, DC","4 - 5 hr","24-hr Pass","36","0"
"12/1/2012","Washington, DC","4 - 5 hr","Annual","12","0"
"12/1/2012","Washington, DC","5 - 24 hr","24-hr Pass","36","0"
"12/1/2012","Washington, DC","5 - 24 hr","Annual","47","0"
"1/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","66","0"
"1/1/2013","Alexandria, VA","<0.5 hr","Annual","820","835"
"1/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","19","0"
"1/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","10","0"
"1/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","25","0"
"1/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","5","0"
"1/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","15","0"
"1/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","2","0"
"1/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","6","0"
"1/1/2013","Alexandria, VA","2 - 3 hr","Annual","1","0"
"1/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","5","0"
"1/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"1/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","1","0"
"1/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"1/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","0","0"
"1/1/2013","Alexandria, VA","5 - 24 hr","Annual","0","0"
"1/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","338","0"
"1/1/2013","Arlington, VA","<0.5 hr","Annual","6874","7318"
"1/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","147","0"
"1/1/2013","Arlington, VA","0.5 - 1 hr","Annual","122","0"
"1/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","75","0"
"1/1/2013","Arlington, VA","1 - 1.5 hr","Annual","10","0"
"1/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","25","0"
"1/1/2013","Arlington, VA","1.5 - 2 hr","Annual","2","0"
"1/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","20","0"
"1/1/2013","Arlington, VA","2 - 3 hr","Annual","0","0"
"1/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","6","0"
"1/1/2013","Arlington, VA","3 - 4 hr","Annual","0","0"
"1/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","3","0"
"1/1/2013","Arlington, VA","4 - 5 hr","Annual","0","0"
"1/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","2","0"
"1/1/2013","Arlington, VA","5 - 24 hr","Annual","2","0"
"1/1/2013","Washington, DC","<0.5 hr","24-hr Pass","8419","0"
"1/1/2013","Washington, DC","<0.5 hr","Annual","104021","127305"
"1/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","2088","0"
"1/1/2013","Washington, DC","0.5 - 1 hr","Annual","1187","0"
"1/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","851","0"
"1/1/2013","Washington, DC","1 - 1.5 hr","Annual","155","0"
"1/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","417","0"
"1/1/2013","Washington, DC","1.5 - 2 hr","Annual","52","0"
"1/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","349","0"
"1/1/2013","Washington, DC","2 - 3 hr","Annual","35","0"
"1/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","80","0"
"1/1/2013","Washington, DC","3 - 4 hr","Annual","10","0"
"1/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","21","0"
"1/1/2013","Washington, DC","4 - 5 hr","Annual","12","0"
"1/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","37","0"
"1/1/2013","Washington, DC","5 - 24 hr","Annual","52","0"
"2/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","60","0"
"2/1/2013","Alexandria, VA","<0.5 hr","Annual","889","761"
"2/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","21","0"
"2/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","8","0"
"2/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","5","0"
"2/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","3","0"
"2/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","2","0"
"2/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","3","0"
"2/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","0","0"
"2/1/2013","Alexandria, VA","2 - 3 hr","Annual","1","0"
"2/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","1","0"
"2/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"2/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","0","0"
"2/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"2/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","0","0"
"2/1/2013","Alexandria, VA","5 - 24 hr","Annual","0","0"
"2/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","346","0"
"2/1/2013","Arlington, VA","<0.5 hr","Annual","6368","6312"
"2/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","57","0"
"2/1/2013","Arlington, VA","0.5 - 1 hr","Annual","80","0"
"2/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","30","0"
"2/1/2013","Arlington, VA","1 - 1.5 hr","Annual","6","0"
"2/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","6","0"
"2/1/2013","Arlington, VA","1.5 - 2 hr","Annual","6","0"
"2/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","13","0"
"2/1/2013","Arlington, VA","2 - 3 hr","Annual","1","0"
"2/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","2","0"
"2/1/2013","Arlington, VA","3 - 4 hr","Annual","3","0"
"2/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","3","0"
"2/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"2/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","2","0"
"2/1/2013","Arlington, VA","5 - 24 hr","Annual","1","0"
"2/1/2013","Washington, DC","<0.5 hr","24-hr Pass","5573","0"
"2/1/2013","Washington, DC","<0.5 hr","Annual","94699","110924"
"2/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","1264","0"
"2/1/2013","Washington, DC","0.5 - 1 hr","Annual","755","0"
"2/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","516","0"
"2/1/2013","Washington, DC","1 - 1.5 hr","Annual","69","0"
"2/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","255","0"
"2/1/2013","Washington, DC","1.5 - 2 hr","Annual","30","0"
"2/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","165","0"
"2/1/2013","Washington, DC","2 - 3 hr","Annual","28","0"
"2/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","45","0"
"2/1/2013","Washington, DC","3 - 4 hr","Annual","8","0"
"2/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","13","0"
"2/1/2013","Washington, DC","4 - 5 hr","Annual","4","0"
"2/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","23","0"
"2/1/2013","Washington, DC","5 - 24 hr","Annual","38","0"
"3/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","131","0"
"3/1/2013","Alexandria, VA","<0.5 hr","Annual","904","1283"
"3/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","64","0"
"3/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","12","0"
"3/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","74","0"
"3/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","8","0"
"3/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","29","0"
"3/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","1","0"
"3/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","33","0"
"3/1/2013","Alexandria, VA","2 - 3 hr","Annual","0","0"
"3/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","11","0"
"3/1/2013","Alexandria, VA","3 - 4 hr","Annual","0","0"
"3/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","4","0"
"3/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"3/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","1","0"
"3/1/2013","Alexandria, VA","5 - 24 hr","Annual","0","0"
"3/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","902","0"
"3/1/2013","Arlington, VA","<0.5 hr","Annual","7732","9556"
"3/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","368","0"
"3/1/2013","Arlington, VA","0.5 - 1 hr","Annual","159","0"
"3/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","152","0"
"3/1/2013","Arlington, VA","1 - 1.5 hr","Annual","22","0"
"3/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","83","0"
"3/1/2013","Arlington, VA","1.5 - 2 hr","Annual","4","0"
"3/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","77","0"
"3/1/2013","Arlington, VA","2 - 3 hr","Annual","2","0"
"3/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","16","0"
"3/1/2013","Arlington, VA","3 - 4 hr","Annual","4","0"
"3/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","3","0"
"3/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"3/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","9","0"
"3/1/2013","Arlington, VA","5 - 24 hr","Annual","4","0"
"3/1/2013","Washington, DC","<0.5 hr","24-hr Pass","18184","0"
"3/1/2013","Washington, DC","<0.5 hr","Annual","118001","160403"
"3/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","5461","0"
"3/1/2013","Washington, DC","0.5 - 1 hr","Annual","1551","0"
"3/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","2432","0"
"3/1/2013","Washington, DC","1 - 1.5 hr","Annual","183","0"
"3/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","1309","0"
"3/1/2013","Washington, DC","1.5 - 2 hr","Annual","59","0"
"3/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","1046","0"
"3/1/2013","Washington, DC","2 - 3 hr","Annual","52","0"
"3/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","219","0"
"3/1/2013","Washington, DC","3 - 4 hr","Annual","17","0"
"3/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","96","0"
"3/1/2013","Washington, DC","4 - 5 hr","Annual","8","0"
"3/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","87","0"
"3/1/2013","Washington, DC","5 - 24 hr","Annual","66","0"
"4/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","375","0"
"4/1/2013","Alexandria, VA","<0.5 hr","Annual","1469","2530"
"4/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","178","0"
"4/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","60","0"
"4/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","59","0"
"4/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","10","0"
"4/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","59","0"
"4/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","10","0"
"4/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","39","0"
"4/1/2013","Alexandria, VA","2 - 3 hr","Annual","1","0"
"4/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","19","0"
"4/1/2013","Alexandria, VA","3 - 4 hr","Annual","1","0"
"4/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","6","0"
"4/1/2013","Alexandria, VA","4 - 5 hr","Annual","0","0"
"4/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","10","0"
"4/1/2013","Alexandria, VA","5 - 24 hr","Annual","0","0"
"4/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","2200","0"
"4/1/2013","Arlington, VA","<0.5 hr","Annual","11814","18369"
"4/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","860","0"
"4/1/2013","Arlington, VA","0.5 - 1 hr","Annual","425","0"
"4/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","457","0"
"4/1/2013","Arlington, VA","1 - 1.5 hr","Annual","0","0"
"4/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","242","0"
"4/1/2013","Arlington, VA","1.5 - 2 hr","Annual","6","0"
"4/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","198","0"
"4/1/2013","Arlington, VA","2 - 3 hr","Annual","8","0"
"4/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","66","0"
"4/1/2013","Arlington, VA","3 - 4 hr","Annual","1","0"
"4/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","23","0"
"4/1/2013","Arlington, VA","4 - 5 hr","Annual","1","0"
"4/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","23","0"
"4/1/2013","Arlington, VA","5 - 24 hr","Annual","7","0"
"4/1/2013","Washington, DC","<0.5 hr","24-hr Pass","33476","0"
"4/1/2013","Washington, DC","<0.5 hr","Annual","161424","247120"
"4/1/2013","Washington, DC","0.5 - 1 hr","24-hr Pass","11238","0"
"4/1/2013","Washington, DC","0.5 - 1 hr","Annual","3680","0"
"4/1/2013","Washington, DC","1 - 1.5 hr","24-hr Pass","5454","0"
"4/1/2013","Washington, DC","1 - 1.5 hr","Annual","435","0"
"4/1/2013","Washington, DC","1.5 - 2 hr","24-hr Pass","3376","0"
"4/1/2013","Washington, DC","1.5 - 2 hr","Annual","139","0"
"4/1/2013","Washington, DC","2 - 3 hr","24-hr Pass","2419","0"
"4/1/2013","Washington, DC","2 - 3 hr","Annual","123","0"
"4/1/2013","Washington, DC","3 - 4 hr","24-hr Pass","601","0"
"4/1/2013","Washington, DC","3 - 4 hr","Annual","46","0"
"4/1/2013","Washington, DC","4 - 5 hr","24-hr Pass","212","0"
"4/1/2013","Washington, DC","4 - 5 hr","Annual","12","0"
"4/1/2013","Washington, DC","5 - 24 hr","24-hr Pass","181","0"
"4/1/2013","Washington, DC","5 - 24 hr","Annual","119","0"
"5/1/2013","Alexandria, VA","<0.5 hr","24-hr Pass","353","0"
"5/1/2013","Alexandria, VA","<0.5 hr","Annual","1692","2578"
"5/1/2013","Alexandria, VA","0.5 - 1 hr","24-hr Pass","162","0"
"5/1/2013","Alexandria, VA","0.5 - 1 hr","Annual","53","0"
"5/1/2013","Alexandria, VA","1 - 1.5 hr","24-hr Pass","92","0"
"5/1/2013","Alexandria, VA","1 - 1.5 hr","Annual","16","0"
"5/1/2013","Alexandria, VA","1.5 - 2 hr","24-hr Pass","71","0"
"5/1/2013","Alexandria, VA","1.5 - 2 hr","Annual","3","0"
"5/1/2013","Alexandria, VA","2 - 3 hr","24-hr Pass","60","0"
"5/1/2013","Alexandria, VA","2 - 3 hr","Annual","2","0"
"5/1/2013","Alexandria, VA","3 - 4 hr","24-hr Pass","20","0"
"5/1/2013","Alexandria, VA","3 - 4 hr","Annual","1","0"
"5/1/2013","Alexandria, VA","4 - 5 hr","24-hr Pass","10","0"
"5/1/2013","Alexandria, VA","4 - 5 hr","Annual","1","0"
"5/1/2013","Alexandria, VA","5 - 24 hr","24-hr Pass","2","0"
"5/1/2013","Alexandria, VA","5 - 24 hr","Annual","3","0"
"5/1/2013","Arlington, VA","<0.5 hr","24-hr Pass","2105","0"
"5/1/2013","Arlington, VA","<0.5 hr","Annual","13947","19919"
"5/1/2013","Arlington, VA","0.5 - 1 hr","24-hr Pass","753","0"
"5/1/2013","Arlington, VA","0.5 - 1 hr","Annual","412","0"
"5/1/2013","Arlington, VA","1 - 1.5 hr","24-hr Pass","375","0"
"5/1/2013","Arlington, VA","1 - 1.5 hr","Annual","42","0"
"5/1/2013","Arlington, VA","1.5 - 2 hr","24-hr Pass","179","0"
"5/1/2013","Arlington, VA","1.5 - 2 hr","Annual","15","0"
"5/1/2013","Arlington, VA","2 - 3 hr","24-hr Pass","169","0"
"5/1/2013","Arlington, VA","2 - 3 hr","Annual","5","0"
"5/1/2013","Arlington, VA","3 - 4 hr","24-hr Pass","57","0"
"5/1/2013","Arlington, VA","3 - 4 hr","Annual","5","0"
"5/1/2013","Arlington, VA","4 - 5 hr","24-hr Pass","31","0"
"5/1/2013","Arlington, VA","4 - 5 hr","Annual","3","0"
"5/1/2013","Arlington, VA","5 - 24 hr","24-hr Pass","37","0"
"5/1/2013","Arlington, VA","5 - 24 hr","Annual","6","0"
